,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
270,poly,1000.0,1,2,50,0.5,"[43, 19, 6, 28]"
271,poly,1000.0,1,2,50,0.75,"[43, 19, 5, 29]"
272,poly,1000.0,1,2,50,1.0,"[43, 19, 5, 29]"
273,poly,1000.0,1,2,100,0.5,"[43, 19, 6, 28]"
274,poly,1000.0,1,2,100,0.75,"[43, 19, 5, 29]"
275,poly,1000.0,1,2,100,1.0,"[43, 19, 5, 29]"
276,poly,1000.0,1,2,150,0.5,"[43, 19, 6, 28]"
277,poly,1000.0,1,2,150,0.75,"[43, 19, 5, 29]"
278,poly,1000.0,1,2,150,1.0,"[43, 19, 5, 29]"
279,poly,1000.0,1,3,50,0.5,"[43, 19, 6, 28]"
280,poly,1000.0,1,3,50,0.75,"[43, 19, 6, 28]"
281,poly,1000.0,1,3,50,1.0,"[43, 19, 6, 28]"
282,poly,1000.0,1,3,100,0.5,"[43, 19, 6, 28]"
283,poly,1000.0,1,3,100,0.75,"[43, 19, 6, 28]"
284,poly,1000.0,1,3,100,1.0,"[43, 19, 6, 28]"
285,poly,1000.0,1,3,150,0.5,"[43, 19, 6, 28]"
286,poly,1000.0,1,3,150,0.75,"[43, 19, 6, 28]"
287,poly,1000.0,1,3,150,1.0,"[43, 19, 6, 28]"
288,rbf,1000.0,10.0,,50,0.5,"[43, 19, 6, 28]"
289,rbf,1000.0,10.0,,50,0.75,"[43, 19, 6, 28]"
290,rbf,1000.0,10.0,,50,1.0,"[43, 19, 6, 28]"
291,rbf,1000.0,10.0,,100,0.5,"[43, 19, 6, 28]"
292,rbf,1000.0,10.0,,100,0.75,"[43, 19, 6, 28]"
293,rbf,1000.0,10.0,,100,1.0,"[43, 19, 6, 28]"
294,rbf,1000.0,10.0,,150,0.5,"[43, 19, 6, 28]"
295,rbf,1000.0,10.0,,150,0.75,"[43, 19, 6, 28]"
296,rbf,1000.0,10.0,,150,1.0,"[43, 19, 6, 28]"
297,poly,1000.0,10.0,2,50,0.5,"[43, 19, 6, 28]"
298,poly,1000.0,10.0,2,50,0.75,"[43, 19, 5, 29]"
299,poly,1000.0,10.0,2,50,1.0,"[43, 19, 5, 29]"
300,poly,1000.0,10.0,2,100,0.5,"[43, 19, 6, 28]"
301,poly,1000.0,10.0,2,100,0.75,"[43, 19, 6, 28]"
302,poly,1000.0,10.0,2,100,1.0,"[43, 19, 6, 28]"
303,poly,1000.0,10.0,2,150,0.5,"[43, 19, 6, 28]"
304,poly,1000.0,10.0,2,150,0.75,"[43, 19, 6, 28]"
305,poly,1000.0,10.0,2,150,1.0,"[43, 19, 6, 28]"
306,poly,1000.0,10.0,3,50,0.5,"[43, 19, 6, 28]"
307,poly,1000.0,10.0,3,50,0.75,"[43, 19, 5, 29]"
308,poly,1000.0,10.0,3,50,1.0,"[43, 19, 5, 29]"
309,poly,1000.0,10.0,3,100,0.5,"[43, 19, 6, 28]"
310,poly,1000.0,10.0,3,100,0.75,"[43, 19, 5, 29]"
311,poly,1000.0,10.0,3,100,1.0,"[43, 19, 5, 29]"
312,poly,1000.0,10.0,3,150,0.5,"[43, 19, 6, 28]"
313,poly,1000.0,10.0,3,150,0.75,"[43, 19, 5, 29]"
314,poly,1000.0,10.0,3,150,1.0,"[43, 19, 5, 29]"
