,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
64,linear,100.0,,,100,"[48, 14, 9, 25]","[44, 17, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 9, 25]","[43, 18, 8, 26]","[46, 15, 12, 22]","[41, 20, 8, 26]"
65,linear,100.0,,,150,"[48, 14, 9, 25]","[44, 17, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[44, 17, 8, 26]","[47, 14, 9, 25]","[43, 18, 9, 25]","[46, 15, 12, 22]","[41, 20, 8, 26]"
66,rbf,100.0,1.0,,50,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[44, 17, 8, 26]","[43, 18, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
67,rbf,100.0,1.0,,100,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[46, 15, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[42, 19, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
68,rbf,100.0,1.0,,150,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[44, 17, 8, 26]","[42, 19, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
69,poly,100.0,1.0,2.0,50,"[49, 13, 9, 25]","[47, 14, 11, 24]","[52, 9, 7, 28]","[51, 10, 14, 21]","[45, 16, 7, 27]","[43, 18, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 7, 27]"
70,poly,100.0,1.0,2.0,100,"[48, 14, 9, 25]","[47, 14, 11, 24]","[50, 11, 7, 28]","[51, 10, 14, 21]","[45, 16, 7, 27]","[43, 18, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 7, 27]"
71,poly,100.0,1.0,2.0,150,"[48, 14, 9, 25]","[46, 15, 11, 24]","[50, 11, 7, 28]","[51, 10, 14, 21]","[45, 16, 7, 27]","[43, 18, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 7, 27]"
72,poly,100.0,1.0,3.0,50,"[48, 14, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
73,poly,100.0,1.0,3.0,100,"[48, 14, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[47, 14, 15, 20]","[44, 17, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
74,poly,100.0,1.0,3.0,150,"[47, 15, 9, 25]","[47, 14, 9, 26]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
